scenario_key,age,premium_term_number,premium_term_label,income_start_year,income_start_age,valid,blockers,notes,estimation_method,source_pdf_count,source_ages,source_labels,annualised_premium_basis,min_annualised_premium,max_annualised_premium,total_planned_premium,target_monthly_income,annualised_income,monthly_income_per_100k_annualised_premium,annualised_income_per_100k_annualised_premium,annual_income_rate_per_total_premium_pct,projection_years,maturity_age,projection_truncated,projection_end_age,current_illustrated_yield_pct_pa,guaranteed_illustrated_yield_pct_pa,total_distribution_cost_pct,final_net_irr_pct,reference_year,reference_age,reference_surrender_value,reference_policy_value,reference_cumulative_income,reference_total_benefits,total_projected_income,final_surrender_value,final_death_benefit,total_benefits_at_projection,net_illustrated_yield_pct_pa,index_account_assumption_pct_pa,blended_drag_vs_index_assumption_pct,face_amount_estimate,total_premium_charge_estimate,total_policy_fee_estimate,total_admin_fee_estimate,total_fee_estimate,policy_value_booster_estimate,net_fees_after_booster,effect_of_deductions,y1_policy_value,y1_surrender_value,y1_death_benefit,income_start_annual_income,income_start_cumulative_income,income_start_surrender_value,y10_annual_income,y10_cumulative_income,y10_surrender_value,y20_annual_income,y20_cumulative_income,y20_surrender_value,y40_annual_income,y40_cumulative_income,y40_surrender_value,final_policy_year,final_age
AGE0_SP_PY2,0,1,Single Premium,2,2,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY2,100000,100000,166000000,100000,72.416667,869,72.416667,869,0.869,79,125,true,79,4.53,-1.26,10.32,4.697514,40,40,102986,102986,197001,299987,429638,103420,103420,533058,4.53,6.35,1.82,100000,8000,63249.99,28869.11,100119.1,35040,65079.1,783928,94902,80000,105000,869,869,81080,4823,35391,85936,4830,83660,89953,5952,197001,102986,79,79
AGE0_SP_PY3,0,1,Single Premium,3,3,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",interpolated_sparse,2,46,A46 Single Premium / PY2; A46 Single Premium / PY4,100000,100000,166000000,100000,235.583333,2827,235.583333,2827,2.827,79,125,true,79,4.54,-1.26,10.32,4.711651,40,40,103943.5,103943.5,198203,302146.5,433001.5,104381.5,104381.5,537383,4.54,6.35,1.81,100000,8000,63249.99,29132.6,100382.59,35040,65342.59,781861.5,94902,80000,105000,2827,2827,84386,4878,34934.5,86890.5,4886,83756.5,90908.5,6007.5,198203,103943.5,79,79
AGE0_SP_PY4,0,1,Single Premium,4,4,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY4,100000,100000,166000000,100000,398.75,4785,398.75,4785,4.785,79,125,true,79,4.55,-1.26,10.32,4.715924,40,40,104901,104901,199294,304195,436254,105343,105343,541597,4.55,6.35,1.8,100000,8000,63249.99,29396.1,100646.09,35040,65606.09,779795,94902,80000,105000,4785,4785,84018,4933,34367,87845,4941,83741,91864,6063,199294,104901,79,79
AGE0_SP_PY5,0,1,Single Premium,5,5,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY5,100000,100000,166000000,100000,422.583333,5071,422.583333,5071,5.071,79,125,true,79,4.6,-1.26,10.32,4.75929,40,40,110010,110010,204966,314976,453471,110474,110474,563945,4.6,6.35,1.75,100000,8000,63249.99,30775.26,102025.25,35040,66985.25,769372,94902,80000,105000,5071,5071,87662,5227,31195,92938,5236,83515,96962,6358,204966,110010,79,79
AGE0_SP_PY6,0,1,Single Premium,6,6,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY6,100000,100000,166000000,100000,447.916667,5375,447.916667,5375,5.375,79,125,true,79,4.65,-1.26,10.32,4.800048,40,40,115425,115425,210665,326090,471399,115911,115911,587310,4.65,6.35,1.7,100000,8000,63249.99,32217.25,103467.24,35040,68427.24,758748,94902,80000,105000,5375,5375,91611,5539,27521,98335,5548,82961,102365,6671,210665,115425,79,79
AGE0_SP_PY7,0,1,Single Premium,7,7,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY7,100000,100000,166000000,100000,474.75,5697,474.75,5697,5.697,79,125,true,79,4.69,-1.26,10.32,4.838508,40,40,121163,121163,216377,337540,490073,121673,121673,611746,4.69,6.35,1.66,100000,8000,63249.99,33724.96,104974.95,35040,69934.95,747924,94902,80000,105000,5697,5697,95883,5870,23299,104054,5879,82046,108091,7003,216377,121163,79,79
AGE0_SP_PY8,0,1,Single Premium,8,8,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY8,100000,100000,166000000,100000,503.166667,6038,503.166667,6038,6.038,79,125,true,79,4.73,-1.26,10.32,4.874711,40,40,127243,127243,222077,349320,509508,127778,127778,637286,4.73,6.35,1.62,100000,8000,63249.99,35300.71,106550.7,35040,71510.7,736907,94902,80000,105000,6038,6038,104498,6220,18472,110115,6229,80725,114158,7354,222077,127243,79,79
AGE0_SP_PY9,0,1,Single Premium,9,9,true,,"Selected age is estimated from source age 46 for this term/start-year combination; parsed source PIs show identical income rates at both anchor ages; validate against an official PI.; Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",age_shifted_source,1,46,A46 Single Premium / PY9,100000,100000,166000000,100000,533.25,6399,533.25,6399,6.399,79,125,true,79,4.77,-1.26,10.32,4.908815,40,40,133687,133687,227743,361430,529731,134250,134250,663981,4.77,6.35,1.58,100000,8000,63249.99,36947.7,108197.69,35040,73157.69,725704,94902,80000,105000,6399,6399,113476,6586,12985,116538,6601,78950,120588,7727,227743,133687,79,79
AGE0_SP_PY10,0,1,Single Premium,10,10,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",interpolated_sparse,2,46; 56,A46 Single Premium / PY9; A56 Single Premium / PY14,100000,100000,166000000,100000,569.216667,6830.6,569.216667,6830.6,6.8306,79,125,true,79,4.802,-1.26,10.32,4.965623,40,40,141381.6,141381.6,234908.6,376290.2,554262.6,141939.8,141939.8,696202.4,4.802,6.35,1.548,100000,8000,63249.99,38827.63,110077.62,35040,75037.62,713999,94902,80000,105000,6830.6,6830.6,119299,6830.6,6830.6,119299,7045,77227.6,128266,8171.6,234908.6,141381.6,79,79
AGE0_SP_PY11,0,1,Single Premium,11,11,true,,"Entry age 0 is outside the source-age anchors (46-56); the nearest anchor's estimate is used (parsed PIs show identical income rates at both anchor ages); validate against an official PI.; Premium term and income start values are interpolated or extrapolated from uploaded source PIs and are approximate.; Source illustrations end at policy year 79; the projection stops at attained age 79, before maturity age 125. Total projected income and final values are to the final projected year, not to maturity.",interpolated_sparse,2,46; 56,A46 Single Premium / PY9; A56 Single Premium / PY14,100000,100000,166000000,100000,605.183333,7262.2,605.183333,7262.2,7.2622,79,125,true,79,4.834,-1.26,10.32,5.006073,40,40,149076.2,149076.2,241184,390260.2,577906,149629.6,149629.6,727535.6,4.834,6.35,1.516,100000,8000,63249.99,40707.57,111957.56,35040,76917.56,702294,94902,80000,105000,7262.2,7262.2,127609.2,0,0,122060,7489,74616.2,135944,8616.2,241184,149076.2,79,79
